Department,Extracurricular_Activities,Internet_Access_at_Home,Midterm_Score,Assignments_Avg,Projects_Score,Quizzes_Avg,Attendance (%),Phone_Screen_Time (hrs/day),Sleep_Hours_per_Night,Study_Hours_per_Week,Overall_Percentage,Grade
EEE,No,Yes,35,36,31,55,69,5.5703567381005525,6.638811758241028,21.31315792831617,45.2,F
EEE,Yes,No,90,90,94,94,86,3.3383497596813845,6.930796202361122,15.113184639346743,90.8,A+
IT,Yes,No,62,63,63,61,86,2.8513051027589777,4.51988174647525,17.416931839443187,67.0,C
IT,No,No,73,75,70,76,71,1.5571170316042973,7.761588135782176,11.516659564052542,73.0,B
EEE,No,No,60,60,63,62,86,1.8912348357870394,7.128137079539676,29.199236138006366,66.2,C
Civil,Yes,No,60,65,61,64,90,2.598315856153173,4.099237320170263,14.594348258890594,68.0,C
EEE,No,Yes,78,71,76,73,66,7.286866842990151,6.926417362077873,14.174953681705519,72.8,B
IT,No,Yes,52,35,52,33,50,4.302370058048766,6.975448579543993,8.500980781608803,44.4,F
IT,No,No,99,91,95,95,62,6.714700146491436,7.871895061759292,7.210205584141164,88.4,A+
EEE,Yes,Yes,60,60,67,65,99,7.206106207422405,4.09671217501668,14.571630387088472,70.2,C
Mechanical,No,Yes,94,93,92,92,79,5.405790466946838,6.782994755938469,16.36352661919433,90.0,A+
IT,Yes,No,62,63,61,61,61,5.235500396265367,6.754517159602173,12.058158768298561,61.6,C
EEE,Yes,No,78,72,73,73,74,7.040038039904977,5.901664948416057,29.861252213639613,74.0,B
Mechanical,Yes,No,85,85,85,86,65,1.4417445838088236,5.298436674040646,21.8188996561731,81.2,A
Mechanical,Yes,No,97,99,96,98,80,6.799889185342569,7.157171393278743,12.694895792018642,94.0,A+
Civil,Yes,Yes,97,93,90,90,71,6.248955351055264,5.6507013043335865,21.152404375126576,88.2,A+
EEE,Yes,Yes,87,88,82,83,95,6.981608051375247,6.732702252959273,6.308321432516571,87.0,A
Mechanical,Yes,No,98,90,94,98,74,1.8710629010779944,7.8256627902377005,24.949733053584584,90.8,A+
Mechanical,No,Yes,41,38,49,58,52,5.397956213456495,6.936427923524507,20.52185468892003,47.6,F
EEE,Yes,No,37,31,33,47,57,6.016421128357877,5.703892128879653,9.754453388099813,41.0,F
IT,Yes,Yes,87,82,81,86,92,2.884328176313137,7.9290242437464595,14.572575350931146,85.6,A
IT,No,No,32,33,30,31,38,4.995146742832985,5.770420119123733,18.789686473706148,32.8,F
IT,Yes,No,32,46,38,33,51,3.625289061464313,5.474896021103172,9.863249372501329,40.0,F
Mechanical,No,No,71,70,70,73,69,4.7060501837889355,5.58195630473428,13.058461452023591,70.6,B
Mechanical,No,Yes,33,56,41,49,52,7.663773356123821,5.242816874871668,19.51614500899876,46.2,F
EEE,No,Yes,92,95,97,98,66,7.4039213074767005,5.4495755964665324,19.514708756951087,89.6,A+
Mechanical,Yes,No,77,72,76,72,99,3.6616881648937314,7.274170319622012,14.156325149961855,79.2,B
Mechanical,No,No,70,71,76,77,72,6.172620926051093,4.791297715365292,26.08433301687514,73.2,B
Mechanical,No,Yes,80,82,88,84,71,7.4890291207098585,6.593819656725739,14.489983911208308,81.0,A
EEE,No,Yes,93,94,96,90,62,3.7628402676663053,7.3768525629052455,28.250420870270798,87.0,A+
EEE,No,Yes,88,82,84,87,97,3.9284206524563063,5.777582473804323,12.582073485113177,87.6,A
EEE,Yes,Yes,77,72,76,73,96,1.4390551999012116,7.261951062320543,17.36885601089259,78.8,B
Civil,Yes,Yes,83,86,88,86,92,3.663373198451251,4.424502341963982,18.28392079381738,87.0,A
Mechanical,Yes,No,75,70,76,72,72,7.221897582169722,4.193297635421588,19.081396095642084,73.0,B
EEE,No,Yes,72,75,76,70,66,3.5432713289830704,6.005403974534984,6.084929464464022,71.8,B
IT,No,No,87,80,86,81,60,3.8922076204540366,6.703291700416294,21.453995607439335,78.8,A
EEE,No,No,55,42,51,45,59,2.0687826273946652,7.547090034169707,23.297604975325797,50.4,F
IT,Yes,Yes,67,66,61,63,81,6.1030939490507805,5.678689168629074,29.53442760815487,67.6,C
Civil,Yes,No,72,73,74,76,75,1.846998372584465,4.674806571214983,12.89489111270628,74.0,B
Mechanical,Yes,Yes,99,90,94,92,93,2.338822925402107,6.455109675262796,15.887636359953984,93.6,A+
Mechanical,No,Yes,97,90,93,95,84,7.20184423765331,6.463452752729218,10.823986868840844,91.8,A+
Civil,No,Yes,56,42,51,41,45,7.448029963142831,7.536447815601671,7.449868550742826,47.0,F
Mechanical,Yes,Yes,93,95,99,96,86,4.691797354858734,6.877414489476634,27.256451325445052,93.8,A+
EEE,Yes,Yes,84,87,85,84,98,6.481001619430414,7.00061291772605,16.42044511390338,87.6,A
EEE,Yes,No,68,63,68,61,74,2.837567486388193,6.982337352891432,29.441692942476507,66.8,C
Mechanical,Yes,Yes,70,76,72,76,63,4.258539665692358,5.060356675008144,23.357749724577687,71.4,B
IT,Yes,No,86,83,83,82,80,5.017060947739674,6.264073699551284,26.950837821111424,82.8,A
IT,Yes,Yes,75,70,74,72,69,6.247196087845336,5.749390289730379,28.316026563849615,72.0,B
EEE,No,No,98,96,96,95,75,5.875510263589553,5.646644857430113,26.85794012136043,92.0,A+
Civil,Yes,No,46,44,34,42,33,3.9038147032226775,5.734172411215204,16.679353333811164,39.8,F
EEE,No,No,68,66,67,60,84,4.002789865022551,7.459160887999582,22.366800091104988,69.0,C
Mechanical,Yes,No,99,97,97,98,95,6.585399117311258,5.5838818906498195,27.87725171017608,97.2,A+
Civil,Yes,No,64,64,63,60,73,4.598299527747429,5.453388933859378,23.254881654038872,64.8,C
IT,No,Yes,98,96,90,92,83,7.695509788096361,6.950033437836028,13.831285212551604,91.8,A+
Civil,Yes,Yes,72,71,73,72,66,1.3999290354033098,7.575096751047779,18.24522642675135,70.8,B
IT,Yes,Yes,46,49,31,39,64,3.3966723620643187,5.066638633552804,29.621648508621067,45.8,F
Mechanical,No,No,62,67,67,66,61,7.0081660835493365,5.92296364963889,5.074068014009921,64.6,C
Mechanical,No,Yes,32,31,30,41,51,1.6112916079092838,7.704325387147675,16.390063437541553,37.0,F
IT,Yes,Yes,74,74,74,76,64,5.524812156660598,6.181451408534567,6.280158729758227,72.4,B
Mechanical,No,Yes,91,93,90,92,85,7.613153811481558,6.94614091333917,27.074845620744327,90.2,A+
Civil,Yes,Yes,64,61,63,61,82,7.7970362854774935,7.533545948196089,28.638833594186316,66.2,C
IT,No,Yes,85,85,85,85,85,5.459601221983009,7.594670806210655,16.412721383538326,85.0,A
Civil,No,Yes,54,48,32,31,51,5.029629773901986,6.376542335895182,12.8767906678308,43.2,F
Mechanical,Yes,No,70,71,70,76,61,3.6610509937036895,5.348951003343368,22.948425590564238,69.6,B
IT,Yes,No,56,38,42,52,43,7.029850270879269,4.786931465712721,9.010442635815231,46.2,F
EEE,No,Yes,53,34,42,48,65,1.10239977443549,7.51728663706024,8.86430378686919,48.4,F
IT,No,Yes,73,73,76,71,94,1.2492850519098904,5.991905210349573,18.854243040275,77.4,B
IT,No,No,65,63,63,61,88,1.9868553589307987,6.715385540115445,23.68654008704385,68.0,C
Mechanical,Yes,No,93,99,99,91,82,7.400091645923493,4.4710043315605645,19.41291188785634,92.8,A+
EEE,No,No,62,61,65,65,82,7.829363593376249,7.450004163572365,25.244958234344118,67.0,C
Civil,Yes,Yes,66,66,64,67,85,1.9532189965309985,5.001492202827911,18.567531181416125,69.6,C
IT,Yes,Yes,90,96,94,90,76,4.319785146838675,6.2427131797558,20.710661415364676,89.2,A+
EEE,Yes,Yes,65,65,68,64,90,1.546223094576987,7.538898013258259,25.388806350803208,70.4,C
EEE,No,Yes,78,77,76,72,85,7.92663971650607,5.0502894857438285,11.37008165079239,77.6,B
Mechanical,Yes,Yes,85,81,85,80,86,2.3374349754245074,7.1620544301345905,16.348970826196492,83.4,A
Mechanical,No,Yes,95,98,98,91,85,4.481187123182806,4.921003682842059,6.114095586216979,93.4,A+
IT,No,Yes,41,45,35,57,38,4.084575252843747,6.705587945974958,9.384714630498602,43.2,F
Civil,No,Yes,88,83,86,88,61,7.705855472742234,6.012290401086436,7.072864534862029,81.2,A
Civil,Yes,Yes,92,93,97,92,69,6.165421753478178,6.08579609666752,6.7114679833394515,88.6,A+
EEE,No,No,37,34,49,38,50,1.0021681234050415,7.529124380181532,5.492993305107814,41.6,F
Mechanical,No,Yes,93,97,94,91,65,2.463915537549599,6.318599737886954,13.539080261413625,88.0,A+
Mechanical,Yes,Yes,75,76,71,77,66,2.489950602268502,6.675013017799255,18.57195330902013,73.0,B
IT,No,No,67,62,65,65,85,2.9220088697571764,4.129925288143578,25.521332617366582,68.8,C
IT,Yes,No,68,62,61,60,93,3.108843784973538,5.139873062948983,14.741397867579563,68.8,C
IT,Yes,No,52,48,44,37,69,4.441814502236399,7.490448699510341,12.534959435429561,50.0,F
Mechanical,Yes,No,68,65,64,65,60,2.17885564307021,6.911423472200587,9.593473146060697,64.4,C
Mechanical,No,No,30,48,44,30,39,4.292853336267667,5.180912998221855,23.48162876814619,38.2,F
IT,Yes,No,80,83,83,81,97,6.2943398870802065,4.326669103440385,28.10717676986653,84.8,A
Mechanical,Yes,No,90,97,96,91,87,1.3134491535326775,7.047627280529662,28.666110849838656,92.2,A+
Mechanical,No,Yes,51,48,39,36,38,5.703692983464384,4.397846389808759,14.514398534452676,42.4,F
Mechanical,No,Yes,67,67,68,60,87,2.1799840107447896,6.525894268531001,7.141604851174322,69.8,C
